split,source,group,duplicate_cluster,source_image,output_image,waldo_boxes
train,HereIsWally,page:1,page:1,data/raw/HereIsWally/images/1.jpg,train/images/HereIsWally_0000.jpg,1
test,HereIsWally,page:10,page:10,data/raw/HereIsWally/images/10.jpg,test/images/HereIsWally_0000.jpg,1
test,HereIsWally,page:10,page:10,data/raw/HereIsWally/images/10.jpg,test/images/HereIsWally_0001.jpg,1
val,HereIsWally,page:11,page:11,data/raw/HereIsWally/images/11.jpg,val/images/HereIsWally_0000.jpg,1
train,HereIsWally,page:12,page:12,data/raw/HereIsWally/images/12.jpg,train/images/HereIsWally_0001.jpg,1
train,HereIsWally,page:13,page:13,data/raw/HereIsWally/images/13.jpg,train/images/HereIsWally_0002.jpg,1
val,HereIsWally,page:14,page:14,data/raw/HereIsWally/images/14.jpg,val/images/HereIsWally_0001.jpg,1
test,HereIsWally,page:15,page:15,data/raw/HereIsWally/images/15.jpg,test/images/HereIsWally_0002.jpg,1
test,HereIsWally,page:16,page:16,data/raw/HereIsWally/images/16.jpg,test/images/HereIsWally_0003.jpg,1
test,HereIsWally,page:17,page:17,data/raw/HereIsWally/images/17.jpg,test/images/HereIsWally_0004.jpg,1
train,HereIsWally,page:18,page:18,data/raw/HereIsWally/images/18.jpg,train/images/HereIsWally_0003.jpg,1
train,HereIsWally,page:19,page:19,data/raw/HereIsWally/images/19.jpg,train/images/HereIsWally_0004.jpg,1
train,HereIsWally,page:2,page:2,data/raw/HereIsWally/images/2.jpg,train/images/HereIsWally_0005.jpg,1
train,HereIsWally,page:20,page:20,data/raw/HereIsWally/images/20.jpg,train/images/HereIsWally_0006.jpg,1
train,HereIsWally,page:21,page:21,data/raw/HereIsWally/images/21.jpg,train/images/HereIsWally_0007.jpg,1
test,HereIsWally,page:22,page:22,data/raw/HereIsWally/images/22.jpg,test/images/HereIsWally_0005.jpg,1
test,HereIsWally,page:23,page:23,data/raw/HereIsWally/images/23.jpg,test/images/HereIsWally_0006.jpg,1
train,HereIsWally,page:24,page:24,data/raw/HereIsWally/images/24.jpg,train/images/HereIsWally_0008.jpg,1
test,HereIsWally,page:25,page:25,data/raw/HereIsWally/images/25.jpg,test/images/HereIsWally_0007.jpg,1
train,HereIsWally,page:26,page:26,data/raw/HereIsWally/images/26.jpg,train/images/HereIsWally_0009.jpg,1
train,HereIsWally,page:27,page:27,data/raw/HereIsWally/images/27.jpg,train/images/HereIsWally_0010.jpg,1
train,HereIsWally,page:28,page:28,data/raw/HereIsWally/images/28.jpg,train/images/HereIsWally_0011.jpg,1
train,HereIsWally,page:29,page:29,data/raw/HereIsWally/images/29.jpg,train/images/HereIsWally_0012.jpg,1
train,HereIsWally,page:3,page:3,data/raw/HereIsWally/images/3.jpg,train/images/HereIsWally_0013.jpg,1
train,HereIsWally,page:30,page:30,data/raw/HereIsWally/images/30.jpg,train/images/HereIsWally_0014.jpg,1
train,HereIsWally,page:31,page:31,data/raw/HereIsWally/images/31.jpg,train/images/HereIsWally_0015.jpg,1
train,HereIsWally,page:32,page:32,data/raw/HereIsWally/images/32.jpg,train/images/HereIsWally_0016.jpg,1
train,HereIsWally,page:33,page:33,data/raw/HereIsWally/images/33.jpg,train/images/HereIsWally_0017.jpg,1
val,HereIsWally,page:34,page:34,data/raw/HereIsWally/images/34.jpg,val/images/HereIsWally_0002.jpg,1
train,HereIsWally,page:35,page:35,data/raw/HereIsWally/images/35.jpg,train/images/HereIsWally_0018.jpg,1
train,HereIsWally,page:36,page:36,data/raw/HereIsWally/images/36.jpg,train/images/HereIsWally_0019.jpg,1
train,HereIsWally,page:36,page:36,data/raw/HereIsWally/images/36.jpg,train/images/HereIsWally_0020.jpg,1
train,HereIsWally,page:36,page:36,data/raw/HereIsWally/images/36.jpg,train/images/HereIsWally_0021.jpg,1
train,HereIsWally,page:36,page:36,data/raw/HereIsWally/images/36.jpg,train/images/HereIsWally_0022.jpg,1
