epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.421,2.44545,15.2874,1.95252,0.02585,0.01408,0.00376,0.00158,2.75288,4.87186,2.3485,0.000659498,0.000659498,0.000659498
2,426.029,2.48951,4.41682,1.98252,0.0002,0.08451,3e-05,1e-05,3.67144,47.94,5.542,0.00131304,0.00131304,0.00131304
3,620.461,2.78397,4.53808,2.17726,0.00067,0.25352,0.00044,0.00014,3.42793,7.27045,9.83492,0.00195337,0.00195337,0.00195337
4,816.461,2.72114,4.14064,2.17157,0.00022,0.21127,0.0004,9e-05,2.8135,23.0818,5.03094,0.0019406,0.0019406,0.0019406
5,1011.04,2.6398,3.85191,2.15832,0.07608,0.02817,0.01626,0.00528,2.33335,3.9468,2.13415,0.0019208,0.0019208,0.0019208
6,1204.91,2.75361,3.75422,2.23064,0.55529,0.07042,0.09015,0.02595,2.25252,3.95982,2.09205,0.001901,0.001901,0.001901
7,1398.85,2.40707,3.42903,2.03115,0.14793,0.22535,0.07611,0.02577,2.34454,4.06313,2.27735,0.0018812,0.0018812,0.0018812
8,1592.56,2.31102,3.02686,2.00026,0.04319,0.23779,0.04452,0.01751,2.38203,3.33666,2.30824,0.0018614,0.0018614,0.0018614
9,1790.27,2.27623,3.16481,1.90181,0.16051,0.14085,0.06176,0.01814,2.34903,7.49185,2.22563,0.0018416,0.0018416,0.0018416
10,1988.48,2.19865,3.01723,1.84893,0.0134,0.66197,0.0437,0.0129,2.34781,3.486,2.15257,0.0018218,0.0018218,0.0018218
11,2182.52,2.28084,2.9554,1.99948,0.16531,0.14085,0.08802,0.02917,2.15338,3.09111,2.02768,0.001802,0.001802,0.001802
12,2375.63,2.11151,2.73707,1.86073,0.08324,0.1831,0.05904,0.02104,2.18074,3.00647,2.14982,0.0017822,0.0017822,0.0017822
13,2569.23,2.10312,2.8038,1.80515,0.1635,0.12676,0.05691,0.02378,2.44554,3.60789,2.24536,0.0017624,0.0017624,0.0017624
14,2761.91,2.09306,2.72146,1.77102,0.15384,0.1831,0.07831,0.02261,2.5204,3.10996,2.22916,0.0017426,0.0017426,0.0017426
15,2956.65,2.08487,2.74841,1.79667,0.24641,0.24413,0.17519,0.06903,2.11549,2.5282,1.98895,0.0017228,0.0017228,0.0017228
16,3150.84,1.93808,2.60657,1.71757,0.11307,0.25352,0.1225,0.04693,2.21024,2.67448,2.08802,0.001703,0.001703,0.001703
17,3344.03,2.07611,2.7133,1.85175,0.20907,0.32394,0.15955,0.05542,2.26282,2.55644,2.14014,0.0016832,0.0016832,0.0016832
18,197.745,1.90418,2.58285,1.66802,0.26278,0.52113,0.27071,0.10269,2.04043,2.42178,1.94032,0.0016634,0.0016634,0.0016634
19,391.375,1.85615,2.42873,1.70493,0.20947,0.25352,0.11774,0.04714,2.08319,2.86069,2.09186,0.0016436,0.0016436,0.0016436
20,585.703,1.94118,2.58534,1.69039,0.19042,0.07296,0.05242,0.01749,2.30079,4.24223,2.14579,0.0016238,0.0016238,0.0016238
21,777.417,2.02567,2.53065,1.76976,0.25944,0.53521,0.18442,0.05925,2.11548,2.44946,2.07704,0.001604,0.001604,0.001604
22,969.603,1.83051,2.2187,1.62574,0.33434,0.41033,0.31943,0.12081,2.13472,2.23812,1.96033,0.0015842,0.0015842,0.0015842
23,1162.81,2.04364,2.57445,1.74234,0.17881,0.21127,0.20089,0.08407,2.2182,2.56049,2.1153,0.0015644,0.0015644,0.0015644
24,1354.5,1.84147,2.10897,1.65624,0.40807,0.29577,0.2919,0.12146,2.04017,2.67099,1.84819,0.0015446,0.0015446,0.0015446
25,1546.66,1.79532,2.09681,1.65042,0.37248,0.33803,0.20925,0.0739,2.03752,2.56061,2.04081,0.0015248,0.0015248,0.0015248
26,1737.93,1.77152,2.10174,1.55495,0.21363,0.23944,0.14978,0.05552,2.34848,2.99674,2.17633,0.001505,0.001505,0.001505
27,1930.42,1.77282,2.06935,1.56789,0.3168,0.56338,0.35277,0.126,2.10465,1.99982,1.96866,0.0014852,0.0014852,0.0014852
28,2122.23,1.88049,2.30476,1.69257,0.2586,0.35211,0.23674,0.08918,1.99142,2.29036,1.92877,0.0014654,0.0014654,0.0014654
29,2314.15,1.74421,1.88744,1.60403,0.23592,0.38028,0.29088,0.1316,1.96657,2.13165,1.88454,0.0014456,0.0014456,0.0014456
30,2505.37,1.72708,2.0507,1.52318,0.33696,0.47959,0.31925,0.14128,1.94333,2.11553,1.85929,0.0014258,0.0014258,0.0014258
31,2696.34,1.73502,1.99619,1.52719,0.45897,0.29875,0.35207,0.12427,2.27643,2.68119,2.02952,0.001406,0.001406,0.001406
32,2888.78,1.72949,2.00432,1.53324,0.38323,0.40845,0.3186,0.13095,2.03761,2.19314,1.91944,0.0013862,0.0013862,0.0013862
33,3079.91,1.70205,2.04824,1.54721,0.38627,0.32394,0.24919,0.11488,2.19554,2.81388,2.05284,0.0013664,0.0013664,0.0013664
34,3272.63,1.75239,1.97073,1.63492,0.46291,0.43662,0.42325,0.14922,2.11394,2.57772,2.03563,0.0013466,0.0013466,0.0013466
35,3463.91,1.71399,1.77801,1.48771,0.32937,0.22141,0.24887,0.09537,2.26302,3.17406,2.10044,0.0013268,0.0013268,0.0013268
36,3656.62,1.78079,2.27889,1.5863,0.41269,0.5493,0.41507,0.17644,2.01928,1.91415,1.97397,0.001307,0.001307,0.001307
37,3848.3,1.7135,1.92778,1.57066,0.38212,0.53521,0.29693,0.13077,2.054,2.04317,1.94856,0.0012872,0.0012872,0.0012872
38,4039.85,1.62667,1.82035,1.50621,0.31704,0.40845,0.29321,0.1141,1.99604,2.13551,1.93062,0.0012674,0.0012674,0.0012674
39,201.013,1.55884,1.75438,1.43177,0.34324,0.38279,0.31304,0.13591,2.01365,2.40816,1.91591,0.0012476,0.0012476,0.0012476
40,397.64,1.56592,1.80289,1.42629,0.39985,0.44107,0.33894,0.13682,2.00434,2.15019,1.892,0.0012278,0.0012278,0.0012278
41,596.572,1.69736,1.92345,1.49423,0.41723,0.35211,0.29153,0.12463,2.07129,2.76683,1.95533,0.001208,0.001208,0.001208
42,200.266,1.38378,1.57965,1.33,0.39277,0.3662,0.32117,0.14621,2.09552,2.58516,1.93976,0.0011882,0.0011882,0.0011882
43,397.143,1.34795,1.44942,1.30823,0.37993,0.53506,0.37758,0.13572,2.07068,2.28819,1.93248,0.0011684,0.0011684,0.0011684
44,595.841,1.53531,1.55817,1.39197,0.34372,0.49296,0.29478,0.11204,2.06853,2.33238,1.91139,0.0011486,0.0011486,0.0011486
45,792.918,1.67465,1.79532,1.49079,0.47148,0.42254,0.32981,0.12607,2.11715,2.47184,1.99111,0.0011288,0.0011288,0.0011288
46,993.529,1.54002,1.66829,1.40878,0.39155,0.69014,0.38618,0.17889,1.89594,1.85454,1.80404,0.001109,0.001109,0.001109
47,1205.77,1.69466,1.93731,1.51046,0.41102,0.49296,0.42914,0.20617,1.84999,1.86345,1.75225,0.0010892,0.0010892,0.0010892
48,1418.6,1.50584,1.56564,1.41643,0.59798,0.48189,0.47838,0.19533,1.94908,1.98219,1.8442,0.0010694,0.0010694,0.0010694
49,1616.66,1.54141,1.44859,1.46278,0.52838,0.44188,0.39491,0.17961,1.92085,2.06094,1.86816,0.0010496,0.0010496,0.0010496
50,1817.18,1.48767,1.42181,1.3713,0.46802,0.46479,0.46609,0.2146,1.91288,2.26133,1.88016,0.0010298,0.0010298,0.0010298
51,2016.3,1.43712,1.4853,1.3577,0.58014,0.38028,0.43757,0.18588,1.9185,2.36879,1.85655,0.00101,0.00101,0.00101
52,2214.17,1.55036,1.67313,1.47533,0.44679,0.48917,0.3909,0.19566,1.94273,2.15829,1.86335,0.0009902,0.0009902,0.0009902
53,2412.84,1.47702,1.38373,1.38826,0.381,0.60684,0.39587,0.13635,2.15135,1.94396,2.00266,0.0009704,0.0009704,0.0009704
54,2609.82,1.45979,1.44202,1.36004,0.54294,0.69014,0.58173,0.22147,1.99697,1.77832,1.87922,0.0009506,0.0009506,0.0009506
55,2819.92,1.4676,1.5601,1.36888,0.58131,0.50704,0.49475,0.20432,1.88683,2.1858,1.76907,0.0009308,0.0009308,0.0009308
56,3026.38,1.41781,1.40784,1.35742,0.56614,0.46479,0.47212,0.21735,2.02775,2.27861,1.8565,0.000911,0.000911,0.000911
57,3225.86,1.44046,1.50648,1.36623,0.55073,0.50704,0.51244,0.21382,1.92797,1.96226,1.81225,0.0008912,0.0008912,0.0008912
