epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4642,1.76875,5.27725,1.63874,0.29589,0.25,0.15046,0.05705,2.31171,3.99398,2.57383,0.000663024,0.000663024,0.000663024
2,110.622,1.98061,2.46427,1.88338,0.13082,0.14362,0.05133,0.01608,2.54989,17.3326,2.62741,0.00131653,0.00131653,0.00131653
3,164.017,1.8926,2.27622,1.86723,0.2223,0.28723,0.15575,0.05516,2.16019,5.00696,2.39164,0.00195683,0.00195683,0.00195683
4,217.829,1.86914,2.14466,1.8071,0.40054,0.37234,0.29472,0.1214,2.12751,3.42771,2.25651,0.0019406,0.0019406,0.0019406
5,271.662,1.81948,2.01417,1.78714,0.57998,0.29381,0.37745,0.16398,1.8035,5.40353,1.97657,0.0019208,0.0019208,0.0019208
6,325.666,1.74224,1.88159,1.74874,0.2278,0.37234,0.18708,0.07936,1.98561,10.4943,2.08634,0.001901,0.001901,0.001901
7,379.322,1.67463,1.76146,1.63006,0.54588,0.57447,0.52039,0.2445,1.86076,2.22472,2.0076,0.0018812,0.0018812,0.0018812
8,432.924,1.60526,1.63432,1.5959,0.48196,0.40085,0.39071,0.16154,2.20266,2.12688,2.25077,0.0018614,0.0018614,0.0018614
9,486.479,1.56743,1.60765,1.58069,0.45722,0.73404,0.51699,0.21185,1.90643,1.94828,2.04223,0.0018416,0.0018416,0.0018416
10,539.716,1.56149,1.56805,1.54707,0.31054,0.5,0.31457,0.11403,2.0027,2.27681,2.09183,0.0018218,0.0018218,0.0018218
11,593.079,1.47919,1.51343,1.49084,0.54641,0.42021,0.41702,0.16109,1.96038,1.96731,2.07427,0.001802,0.001802,0.001802
12,646.304,1.49277,1.42152,1.50119,0.40105,0.5266,0.40485,0.13869,2.11411,2.08596,2.12567,0.0017822,0.0017822,0.0017822
13,699.76,1.48077,1.40321,1.47686,0.32996,0.48404,0.27081,0.1032,1.90832,2.51107,2.01092,0.0017624,0.0017624,0.0017624
14,753.069,1.49244,1.43254,1.49485,0.53342,0.64894,0.49419,0.19786,1.95298,1.75433,2.07137,0.0017426,0.0017426,0.0017426
15,806.625,1.46582,1.38119,1.46979,0.61481,0.62234,0.5976,0.25085,1.78481,1.66886,1.91658,0.0017228,0.0017228,0.0017228
16,860.26,1.4117,1.3136,1.44041,0.69601,0.59043,0.66891,0.27422,1.90081,1.63558,1.92326,0.001703,0.001703,0.001703
17,913.726,1.3965,1.18003,1.42737,0.58978,0.6117,0.56784,0.21834,2.00513,1.80599,2.08872,0.0016832,0.0016832,0.0016832
18,967.1,1.43156,1.318,1.46355,0.63366,0.67553,0.64294,0.25465,1.87957,1.54424,1.99598,0.0016634,0.0016634,0.0016634
19,1020.46,1.38909,1.14918,1.41261,0.57286,0.71809,0.6135,0.25303,1.93669,1.4134,1.95759,0.0016436,0.0016436,0.0016436
20,1073.56,1.32856,1.17612,1.37627,0.55173,0.59574,0.5695,0.21305,1.91388,1.65291,2.07652,0.0016238,0.0016238,0.0016238
21,1126.62,1.36295,1.14685,1.40527,0.5953,0.75897,0.65722,0.26556,1.93448,1.42771,2.07723,0.001604,0.001604,0.001604
22,1179.57,1.28209,1.05262,1.36061,0.70834,0.54787,0.57731,0.2603,1.94063,1.74882,2.07909,0.0015842,0.0015842,0.0015842
23,1232.23,1.30864,1.11745,1.36488,0.5959,0.69149,0.66441,0.28158,1.87523,1.40272,1.9973,0.0015644,0.0015644,0.0015644
24,1285.25,1.2962,1.06813,1.34859,0.66306,0.67553,0.67834,0.24476,2.06849,1.37667,2.15211,0.0015446,0.0015446,0.0015446
25,1338.18,1.35969,1.09379,1.36571,0.5429,0.69681,0.60609,0.2498,1.82951,1.72249,1.99353,0.0015248,0.0015248,0.0015248
26,1391.32,1.3217,1.08151,1.35901,0.60402,0.65957,0.63626,0.26148,1.88367,1.473,2.05684,0.001505,0.001505,0.001505
27,1444.3,1.27215,1.09806,1.33798,0.66385,0.67231,0.69055,0.28398,1.97673,1.47367,2.13248,0.0014852,0.0014852,0.0014852
28,1497.32,1.28698,1.13869,1.33709,0.69174,0.77128,0.72791,0.29132,1.94418,1.38955,2.07026,0.0014654,0.0014654,0.0014654
29,1550.22,1.2689,0.98677,1.31816,0.55721,0.70745,0.6002,0.21102,2.0404,1.65417,2.20559,0.0014456,0.0014456,0.0014456
30,1602.89,1.26509,1.01593,1.33777,0.64724,0.6383,0.63972,0.23918,1.91067,1.6901,2.0232,0.0014258,0.0014258,0.0014258
31,1655.97,1.23024,1.02894,1.2947,0.67595,0.63298,0.66283,0.27029,1.96379,1.46304,2.02632,0.001406,0.001406,0.001406
32,1709.32,1.22346,0.97634,1.31139,0.63744,0.66489,0.65933,0.28511,1.99888,1.47168,2.09239,0.0013862,0.0013862,0.0013862
33,1762.42,1.25664,0.99875,1.33046,0.60092,0.62766,0.64033,0.24289,1.97967,1.47924,2.12527,0.0013664,0.0013664,0.0013664
34,1815.59,1.19093,1.01312,1.27817,0.69946,0.70213,0.70026,0.29363,1.95781,1.4445,2.04046,0.0013466,0.0013466,0.0013466
35,1868.68,1.20788,1.00639,1.28593,0.67297,0.63488,0.65511,0.26724,2.11613,1.38891,2.18617,0.0013268,0.0013268,0.0013268
36,1921.6,1.211,0.93786,1.30479,0.71031,0.62234,0.68796,0.29431,2.00891,1.48698,2.15317,0.001307,0.001307,0.001307
37,1975.04,1.18448,0.91947,1.26326,0.68829,0.67021,0.68959,0.26012,2.08991,1.51151,2.23074,0.0012872,0.0012872,0.0012872
38,2028.06,1.22303,0.95308,1.29259,0.68467,0.68085,0.68075,0.28241,1.99216,1.50765,2.10388,0.0012674,0.0012674,0.0012674
39,2081.08,1.21159,0.91362,1.29065,0.67818,0.64362,0.71446,0.2723,2.01701,1.45959,2.17895,0.0012476,0.0012476,0.0012476
40,2134.14,1.18551,0.90079,1.28085,0.61684,0.77068,0.70137,0.28641,1.98117,1.26682,2.07416,0.0012278,0.0012278,0.0012278
41,2187.25,1.20029,0.93921,1.27228,0.73135,0.71809,0.68844,0.29131,1.99779,1.40625,2.18323,0.001208,0.001208,0.001208
42,2240.34,1.16724,0.87921,1.23466,0.72378,0.72476,0.69338,0.26473,2.08738,1.36774,2.20634,0.0011882,0.0011882,0.0011882
43,2293.6,1.16306,0.94017,1.2671,0.61997,0.72025,0.69468,0.27746,2.01245,1.41234,2.21987,0.0011684,0.0011684,0.0011684
44,2346.5,1.17026,0.86994,1.24447,0.68806,0.68051,0.69041,0.29803,1.91113,1.54858,2.03818,0.0011486,0.0011486,0.0011486
45,2399.64,1.12891,0.83352,1.2289,0.71081,0.73216,0.71124,0.32131,1.83339,1.33008,1.96158,0.0011288,0.0011288,0.0011288
46,2452.77,1.13904,0.83948,1.24436,0.6197,0.67553,0.67042,0.28225,1.91198,1.4987,2.02238,0.001109,0.001109,0.001109
47,2506.05,1.12205,0.84185,1.23921,0.72221,0.69145,0.71295,0.29257,1.92842,1.49716,2.0393,0.0010892,0.0010892,0.0010892
48,2558.98,1.12591,0.84794,1.24506,0.65104,0.7234,0.72296,0.30071,1.91206,1.38482,2.1091,0.0010694,0.0010694,0.0010694
49,2612.01,1.08169,0.78547,1.2016,0.65232,0.71856,0.69439,0.27415,1.91283,1.40411,2.09029,0.0010496,0.0010496,0.0010496
50,2665.27,1.11102,0.80579,1.21482,0.7196,0.79174,0.7664,0.31976,1.86021,1.21164,2.07385,0.0010298,0.0010298,0.0010298
51,2718.01,1.06707,0.78502,1.18007,0.61879,0.68085,0.67945,0.27574,2.03135,1.46337,2.17244,0.00101,0.00101,0.00101
52,2770.88,1.07621,0.86348,1.18081,0.69084,0.71809,0.71618,0.29462,2.00057,1.47411,2.17718,0.0009902,0.0009902,0.0009902
53,2823.72,1.08279,0.81312,1.21872,0.67993,0.79255,0.7443,0.28798,2.00346,1.4484,2.12967,0.0009704,0.0009704,0.0009704
54,2876.89,1.12663,0.81062,1.23619,0.75408,0.71277,0.73177,0.32612,1.916,1.31024,2.05253,0.0009506,0.0009506,0.0009506
55,2930.54,1.06265,0.74185,1.18546,0.66913,0.71277,0.71898,0.28524,2.03171,1.30165,2.25177,0.0009308,0.0009308,0.0009308
56,2983.82,1.04946,0.7762,1.17392,0.71037,0.73059,0.7302,0.29598,1.99295,1.47166,2.16345,0.000911,0.000911,0.000911
57,3037.14,1.07455,0.78376,1.19756,0.69884,0.78723,0.74994,0.30811,1.95639,1.37306,2.13894,0.0008912,0.0008912,0.0008912
58,3090.34,1.03434,0.82584,1.16725,0.69931,0.71277,0.7167,0.28146,2.01081,1.33414,2.20441,0.0008714,0.0008714,0.0008714
59,3143.38,1.04577,0.74948,1.18285,0.71437,0.67021,0.70293,0.27829,2.06544,1.47686,2.24754,0.0008516,0.0008516,0.0008516
60,3196.53,1.02883,0.75146,1.19985,0.72695,0.71277,0.73803,0.27915,2.0936,1.47009,2.30896,0.0008318,0.0008318,0.0008318
61,3249.67,1.03209,0.70555,1.17549,0.77409,0.75,0.76642,0.32149,1.92208,1.37938,2.1209,0.000812,0.000812,0.000812
62,3302.73,1.00394,0.77129,1.1527,0.75729,0.85106,0.78083,0.30659,1.93515,1.32451,2.16909,0.0007922,0.0007922,0.0007922
63,3355.99,0.99458,0.70399,1.15796,0.79518,0.74341,0.76202,0.30817,1.96549,1.35718,2.21218,0.0007724,0.0007724,0.0007724
64,3409.21,0.98791,0.72747,1.14892,0.71539,0.77128,0.75454,0.30195,1.95926,1.33473,2.23866,0.0007526,0.0007526,0.0007526
65,3462.15,0.99461,0.72962,1.15165,0.74576,0.80319,0.78766,0.3363,1.90731,1.30991,2.06887,0.0007328,0.0007328,0.0007328
66,3515.39,0.95011,0.68837,1.14992,0.70789,0.7766,0.7473,0.31825,1.96458,1.39043,2.20098,0.000713,0.000713,0.000713
67,3568.69,0.93342,0.67467,1.13273,0.7807,0.76596,0.78149,0.33749,1.92168,1.28934,2.15412,0.0006932,0.0006932,0.0006932
68,3621.75,0.91803,0.69078,1.11891,0.80435,0.79255,0.81318,0.37805,1.74772,1.25762,1.95763,0.0006734,0.0006734,0.0006734
69,3675,0.9175,0.66799,1.11315,0.65502,0.82818,0.75189,0.31476,1.88624,1.37155,2.12457,0.0006536,0.0006536,0.0006536
70,3728.32,0.90954,0.68549,1.1105,0.7623,0.81915,0.80615,0.35768,1.87007,1.19245,2.13881,0.0006338,0.0006338,0.0006338
71,3781.45,0.88914,0.65047,1.10646,0.78911,0.77621,0.79042,0.34488,1.88389,1.2819,2.10749,0.000614,0.000614,0.000614
72,3834.86,0.88422,0.65451,1.10368,0.73073,0.70213,0.74243,0.32123,1.86738,1.45836,2.14387,0.0005942,0.0005942,0.0005942
73,3888.12,0.88229,0.657,1.09369,0.7365,0.73936,0.75465,0.33782,1.86747,1.31602,2.14738,0.0005744,0.0005744,0.0005744
74,3941.25,0.86093,0.61651,1.0994,0.72361,0.77128,0.7713,0.33547,1.90811,1.29919,2.15115,0.0005546,0.0005546,0.0005546
75,3994.39,0.85104,0.62925,1.09368,0.76682,0.76064,0.7784,0.33624,1.87148,1.32302,2.14217,0.0005348,0.0005348,0.0005348
76,4047.77,0.85786,0.62256,1.07522,0.71298,0.77128,0.75615,0.32921,1.87102,1.35776,2.16759,0.000515,0.000515,0.000515
77,4101.13,0.84279,0.63153,1.06567,0.72122,0.81383,0.77322,0.33515,1.94577,1.31758,2.22453,0.0004952,0.0004952,0.0004952
78,4154.33,0.8327,0.63092,1.07697,0.72214,0.78191,0.78138,0.33515,1.90729,1.29416,2.13992,0.0004754,0.0004754,0.0004754
79,4207.8,0.85097,0.68746,1.09822,0.75331,0.73936,0.76897,0.33124,1.88884,1.37532,2.12673,0.0004556,0.0004556,0.0004556
80,4261.11,0.83615,0.61661,1.06226,0.77786,0.78228,0.79036,0.35413,1.81764,1.33151,2.02393,0.0004358,0.0004358,0.0004358
81,4314.36,0.81478,0.57672,1.03784,0.73889,0.79787,0.77331,0.35811,1.80259,1.26455,2.04765,0.000416,0.000416,0.000416
82,4367.8,0.8047,0.61774,1.05179,0.73766,0.71277,0.76054,0.36344,1.81067,1.29764,2.05856,0.0003962,0.0003962,0.0003962
